Currency,Event,Time_GMT,Impact,Signal,Actual,Forecast,Previous
JPY,Tokyo Core CPI y/y,27/10/2023 00:30,Medium,better,2.70%,2.50%,2.50%
AUD,PPI q/q,27/10/2023 01:30,Low,better,1.80%,0.70%,0.50%
EUR,Spanish Flash GDP q/q,27/10/2023 08:00,Low,better,0.30%,0.20%,0.50%
EUR,Euro Summit,27/10/2023 00:00,High,,,,
USD,Core PCE Price Index m/m,27/10/2023 13:30,High,,0.30%,0.30%,0.10%
USD,Personal Income m/m,27/10/2023 00:00,Low,worse,0.30%,0.40%,0.40%
USD,Personal Spending m/m,27/10/2023 00:00,Low,better,0.70%,0.50%,0.40%
USD,FOMC Member Barr Speaks,27/10/2023 14:00,Low,,,,
USD,Revised UoM Consumer Sentiment,27/10/2023 15:00,High,better,63.8,63,63
USD,Revised UoM Inflation Expectations,27/10/2023 00:00,Low,,4.20%,,3.80%
JPY,SPPI y/y,26/10/2023 00:50,Low,better,2.10%,2.00%,2.10%
AUD,Import Prices q/q,26/10/2023 01:30,Low,better,0.80%,0.20%,-0.80%
EUR,Spanish Unemployment Rate,26/10/2023 08:00,Low,worse,11.80%,11.50%,11.60%
GBP,CBI Realized Sales,26/10/2023 11:00,Low,worse,-36,-16,-14
EUR,Main Refinancing Rate,26/10/2023 13:15,High,,4.50%,4.50%,4.50%
EUR,Monetary Policy Statement,26/10/2023 00:00,High,,,,
USD,Advance GDP q/q,26/10/2023 13:30,High,better,4.90%,4.50%,2.10%
USD,Unemployment Claims,26/10/2023 00:00,High,,210K,208K,200K
USD,Advance GDP Price Index q/q,26/10/2023 00:00,Medium,better,3.50%,2.70%,1.70%
USD,Core Durable Goods Orders m/m,26/10/2023 00:00,Medium,better,0.50%,0.20%,0.50%
USD,Durable Goods Orders m/m,26/10/2023 00:00,Medium,better,4.70%,1.90%,0.10%
USD,Goods Trade Balance,26/10/2023 00:00,Low,,-85.8B,-86.2B,-84.6B
USD,Prelim Wholesale Inventories m/m,26/10/2023 00:00,Low,better,0.00%,0.10%,-0.10%
EUR,ECB Press Conference,26/10/2023 13:45,High,,,,
USD,FOMC Member Waller Speaks,26/10/2023 14:00,Medium,,,,
USD,Pending Home Sales m/m,26/10/2023 15:00,Medium,better,1.10%,-2.00%,-7.10%
USD,Natural Gas Storage,26/10/2023 15:30,Low,better,74B,82B,97B
GBP,MPC Member Cunliffe Speaks,26/10/2023 17:45,Low,,,,
AUD,CPI q/q,25/10/2023 01:30,High,better,1.20%,1.10%,0.80%
AUD,CPI y/y,25/10/2023 00:00,High,better,5.60%,5.30%,5.20%
AUD,Trimmed Mean CPI q/q,25/10/2023 00:00,High,better,1.20%,1.00%,1.00%
CHF,Credit Suisse Economic Expectations,25/10/2023 09:00,Low,,-37.8,,-27.6
EUR,German ifo Business Climate,25/10/2023 00:00,High,better,86.9,85.9,85.8
EUR,M3 Money Supply y/y,25/10/2023 00:00,Low,better,-1.20%,-1.70%,-1.30%
EUR,Private Loans y/y,25/10/2023 00:00,Low,worse,0.80%,1.00%,1.00%
CNY,CB Leading Index m/m,25/10/2023 14:00,Low,,-0.30%,,-0.40%
EUR,Belgian NBB Business Climate,25/10/2023 00:00,Low,worse,-16.8,-14.7,-14.4
CAD,BOC Monetary Policy Report,25/10/2023 15:00,High,,,,
CAD,BOC Rate Statement,25/10/2023 00:00,High,,,,
CAD,Overnight Rate,25/10/2023 00:00,High,,5.00%,5.00%,5.00%
USD,New Home Sales,25/10/2023 00:00,Medium,better,759K,678K,676K
USD,Crude Oil Inventories,25/10/2023 15:30,Low,worse,1.4M,-0.5M,-4.5M
CAD,BOC Press Conference,25/10/2023 16:00,High,,,,
EUR,ECB President Lagarde Speaks,25/10/2023 18:00,Medium,,,,
USD,Fed Chair Powell Speaks,25/10/2023 21:35,High,,,,
AUD,RBA Gov Bullock Speaks,25/10/2023 23:00,High,,,,
JPY,Flash Manufacturing PMI,24/10/2023 01:30,Low,worse,48.5,48.9,48.5
JPY,BOJ Core CPI y/y,24/10/2023 06:00,Low,better,3.40%,3.30%,3.30%
EUR,German GfK Consumer Climate,24/10/2023 07:00,Low,worse,-28.1,-26.8,-26.7
GBP,Claimant Count Change,24/10/2023 00:00,High,worse,20.4K,2.3K,-9.0K
GBP,Unemployment Rate,24/10/2023 00:00,Low,better,4.20%,4.30%,4.30%
EUR,French Flash Manufacturing PMI,24/10/2023 08:15,High,worse,42.6,44.4,44.2
EUR,French Flash Services PMI,24/10/2023 00:00,High,better,46.1,44.9,44.4
EUR,German Flash Manufacturing PMI,24/10/2023 08:30,High,better,40.7,40.1,39.6
EUR,German Flash Services PMI,24/10/2023 00:00,High,worse,48,50.1,50.3
AUD,RBA Gov Bullock Speaks,24/10/2023 09:00,High,,,,
EUR,Flash Manufacturing PMI,24/10/2023 00:00,Medium,worse,43,43.6,43.4
EUR,Flash Services PMI,24/10/2023 00:00,Medium,worse,47.8,48.7,48.7
GBP,Flash Manufacturing PMI,24/10/2023 09:30,High,better,45.2,44.7,44.3
GBP,Flash Services PMI,24/10/2023 00:00,High,,49.2,49.4,49.3
GBP,CBI Industrial Order Expectations,24/10/2023 11:00,Low,worse,-26,-16,-18
CAD,NHPI m/m,24/10/2023 13:30,Low,worse,-0.20%,0.10%,0.10%
EUR,ECB President Lagarde Speaks,24/10/2023 00:00,Low,,,,
USD,Flash Manufacturing PMI,24/10/2023 14:45,High,better,50,49.5,49.8
USD,Flash Services PMI,24/10/2023 00:00,High,better,50.9,49.9,50.1
USD,Richmond Manufacturing Index,24/10/2023 14:59,Medium,,3,3,5
EUR,German Buba Monthly Report,23/10/2023 11:00,Low,,,,
EUR,Consumer Confidence,23/10/2023 15:00,Low,,-18,-18,-18
AUD,Flash Manufacturing PMI,23/10/2023 23:00,Low,,48,,48.7
AUD,Flash Services PMI,23/10/2023 00:00,Low,,47.6,,51.8
NZD,Bank Holiday,22/10/2023 00:00,Non-Economic,,,,
USD,FOMC Member Logan Speaks,20/10/2023 00:00,Low,,,,
GBP,GfK Consumer Confidence,20/10/2023 00:01,Low,worse,-30,-20,-21
JPY,National Core CPI y/y,20/10/2023 00:30,Low,better,2.80%,2.70%,3.10%
CNY,1-y Loan Prime Rate,20/10/2023 02:15,Medium,,3.45%,3.45%,3.45%
CNY,5-y Loan Prime Rate,20/10/2023 00:00,Medium,,4.20%,4.20%,4.20%
NZD,Credit Card Spending y/y,20/10/2023 03:05,Low,,3.30%,,4.30%
EUR,German PPI m/m,20/10/2023 07:00,Low,worse,-0.20%,0.40%,0.30%
GBP,Retail Sales m/m,20/10/2023 00:00,High,worse,-0.90%,-0.30%,0.40%
GBP,Public Sector Net Borrowing,20/10/2023 00:00,Low,better,13.5B,17.6B,10.6B
CNY,Foreign Direct Investment ytd/y,20/10/2023 09:32,Low,,-8.40%,,-5.10%
CAD,Core Retail Sales m/m,20/10/2023 13:30,Medium,better,0.10%,-0.10%,1.10%
CAD,Retail Sales m/m,20/10/2023 00:00,Medium,,-0.10%,-0.10%,0.40%
USD,FOMC Member Harker Speaks,20/10/2023 14:00,Medium,,,,
USD,Federal Budget Balance,20/10/2023 21:00,Low,better,-171.0B,-164.5B,89.3B
